Ticker,MarketCap,TotalRevenue,NetIncomeToCommon,ReturnOnAssets,ReturnOnEquity,DebtToEquity,FreeCashflow,DividendRate,DividendYield,PayoutRatio,GrossMargins,OperatingMargins,ProfitMargins,ebitdaMargins,Timestamp_extraction
QCOM,179282.608128,40696.000512,10478.999552,0.12626,0.41968,54.23,9738.749952,3.4,2.11,0.3614,0.55993,0.30465,0.25936002,0.30923998,2025-02-26 23:20:25
INTU,175090.876416,17166.999552,3036.999936,0.08257,0.17424999,,4641.750016,4.16,0.75,0.363,0.79822,0.15697,0.17691,0.2746,2025-02-26 23:20:25
AMD,169729.06496,25784.999936,1640.999936,0.019019999,0.02893,4.032,3506.249984,,,0.0,0.53019,0.13803001,0.06364,0.19973,2025-02-26 23:20:26
PDD,166332.98944,372107.01824,108268.183552,0.16841,0.49151,3.676,112679.174144,,,0.0,0.62059,0.24450001,0.29096,0.282,2025-02-26 23:20:26
BKNG,165209.751552,23739.000832,5881.999872,0.18225001,,,7449.750016,35.0,0.7,0.2027,0.85871005,0.30579,0.24778,0.34458,2025-02-26 23:20:26
AMGN,164588.863488,33423.998976,4089.999872,0.064,0.67553,1035.886,13725.8752,9.52,3.02,1.1905,0.68711,0.51805,0.122370005,0.45348,2025-02-26 23:20:26
ARM,146474.385408,3694.000128,806.0,0.03543,0.14112,4.222,648.562496,,,0.0,0.96372,0.17803,0.21819,0.16243,2025-02-26 23:20:27
GILD,137662.971904,28753.999872,480.0,0.11217,0.02286,144.155,8032.500224,3.16,2.83,8.1053,0.78260005,0.3336,0.01669,0.47417,2025-02-26 23:20:27
HON,137347.375104,38498.000896,5704.999936,0.074990004,0.32244998,168.18,4256.0,4.52,2.13,0.5017,0.38085,0.18735,0.14819,0.2477,2025-02-26 23:20:27
AMAT,136904.433664,27634.999296,6343.000064,0.15558,0.35186002,35.372,3825.750016,1.6,0.97,0.19870001,0.47726002,0.30352,0.22952999,0.30688998,2025-02-26 23:20:28
CMCSA,132713.791488,123731.001344,16192.0,0.054840002,0.18707001,122.184,7656.500224,1.32,3.68,0.22459999,0.70075,0.15648,0.13086,0.30793,2025-02-26 23:20:28
SBUX,128360.087552,36148.699136,3517.299968,0.09776,,,1967.487488,2.44,2.13,0.7484,0.26115,0.11441,0.09729999,0.17751,2025-02-26 23:20:28
ADP,126691.500032,19903.399936,3933.700096,0.054569997,0.83716005,86.202,4454.9248,6.16,1.97,0.5985,0.48231,0.25901,0.19764,0.29439,2025-02-26 23:20:28
PANW,125501.054976,8570.500096,1254.499968,0.03652,0.23378,15.221,3434.6624,,,0.0,0.73857003,0.10649,0.14637,0.16231,2025-02-26 23:20:29
VRTX,123028.086784,11020.099584,-535.6,0.12683,-0.031519998,10.661,2725.55008,,,0.0,0.86112,0.44983003,-0.048600003,0.43326,2025-02-26 23:20:29
ADI,115924.467712,9337.626624,1563.862016,0.02616,0.04429,21.725,2997.512704,3.96,1.68,1.1757,0.57163,0.22912,0.16747999,0.44028,2025-02-26 23:20:29
APP,112553.893888,4709.248,1577.058944,0.20856,1.3467,326.33,1687.874432,,,0.0,0.75223,0.44287997,0.33546,0.49310002,2025-02-26 23:20:29
MELI,111414.632448,20777.00096,1911.000064,0.07683,0.51496,158.102,363.249984,,,0.0,0.52674,0.13534,0.09198,0.15633,2025-02-26 23:20:30
MU,108865.544192,29094.00064,3881.999872,0.04204,0.086569995,30.863,-11.0,0.46,0.49,0.1318,0.3092,0.24962999,0.13343,0.42486,2025-02-26 23:20:30
LRCX,104361.566208,16209.088512,4293.570048,0.15589,0.50422,56.565,3125.586944,0.92,1.15,0.26139998,0.47731,0.30481002,0.26489002,0.31991,2025-02-26 23:20:30
INTC,101841.600512,53100.998656,-18755.999744,-0.01233,-0.17891,48.277,-13195.374592,0.5,2.24,2.0833,0.3432,-0.18548,-0.35321,0.14173001,2025-02-26 23:20:31
KLAC,98139.70944,10846.956544,3208.365056,0.17688999,0.96809,169.411,2469.033472,6.8,0.94,0.2546,0.59682,0.40370998,0.29578,0.41891,2025-02-26 23:20:31
CRWD,97184.473088,3740.42112,126.71,-0.0005,0.05084,25.583,1208.326656,,,0.0,0.75241995,-0.055159997,0.03388,0.03746,2025-02-26 23:20:31
ABNB,89491.603456,11102.000128,2648.0,0.07671,0.31948,27.271,3145.625088,,,0.0,0.83084,0.17339,0.23852,0.23275,2025-02-26 23:20:31
CEG,84512.497664,23567.998976,3748.999936,0.051659998,0.30115,66.438,4232.875008,1.55,0.59,0.118599996,0.25467,0.16704,0.15907,0.29638,2025-02-26 23:20:32
FTNT,83833.544704,5955.800064,1745.2,0.13209,3.38742,71.857,1834.850048,,,0.0,0.80563,0.3451,0.29303,0.32264,2025-02-26 23:20:32
DASH,83431.071744,10721.999872,123.0,0.00274,0.016,6.863,1864.499968,,,0.0,0.49422002,0.04246,0.011469999,0.027509999,2025-02-26 23:20:32
CTAS,82448.072704,9940.477952,1706.269056,0.15269,0.41325,66.308,1651.91616,1.56,0.76,0.3508,0.49617,0.23085,0.17227,0.25767002,2025-02-26 23:20:33
MRVL,82116.968448,5376.399872,-1477.900032,-0.0072399997,-0.10333,32.463,1609.76256,0.24,0.26,0.1101,0.46234,0.00811,-0.27489,0.21414,2025-02-26 23:20:33
MDLZ,82074.476544,36441.001984,4610.999808,0.05756,0.16712,68.788,2744.0,1.88,2.85,0.5234,0.39124,0.17191,0.12652999,0.21250999,2025-02-26 23:20:33
MAR,77790.101504,6617.999872,2375.000064,0.09340999,,,1950.499968,2.52,0.91,0.2893,0.81868,0.48406,0.35887,0.64339995,2025-02-26 23:20:33
REGN,77286.219776,14202.000384,4412.599808,0.07314,0.15951,10.012,2635.887616,3.52,0.49,0.0,0.49988997,0.26905,0.3107,0.32587,2025-02-26 23:20:34
ORLY,76342.427648,16708.478976,2386.680064,0.14127,,,1528.924672,,,0.0,0.51198,0.18035,0.14284,0.22223,2025-02-26 23:20:34
TEAM,75655.118848,4794.96192,-346.144,-0.01751,-0.32586,102.048,1564.706048,,,0.0,0.81821,-0.04468,-0.07219,-0.00959,2025-02-26 23:20:34
SNPS,72742.060032,6127.435776,1441.709952,0.072399996,0.18597999,7.586,837.91072,,,0.0,0.81439,0.18997999,0.36938,0.2523,2025-02-26 23:20:35
WDAY,72109.940736,8446.000128,526.0,0.01812,0.06146,37.215,697.875008,,,0.0,0.75503,0.06784,0.062280003,0.097679995,2025-02-26 23:20:35
PYPL,71274.889216,31797.000192,4147.000064,0.04299,0.20001,58.074,3494.249984,,,0.0,0.40537998,0.17379999,0.13042,0.19392,2025-02-26 23:20:35
CDNS,69606.989824,4641.264128,1055.484032,0.11858,0.26133,56.202,1004.660608,,,0.0,0.86049,0.33714,0.22740999,0.34173,2025-02-26 23:20:36
MSTR,68525.494272,463.456,-1166.660992,-0.075679995,-0.11441,39.816,-23133.814784,,,0.0,0.72065,-8.4312,-2.5173101,0.0,2025-02-26 23:20:36
ROP,61762.486272,7039.200256,1549.299968,0.041950002,0.08533,41.468,2178.599936,3.3,0.56,0.2091,0.69302005,0.27953,0.2201,0.39914,2025-02-26 23:20:36
CSX,61670.87104,14540.000256,3470.000128,0.0784,0.28166,147.941,2152.75008,0.52,1.62,0.2682,0.48143002,0.34219003,0.23865,0.48143002,2025-02-26 23:20:36
ADSK,61564.45696,5960.999936,1091.000064,0.08833,0.53244996,98.547,1692.0,,,0.0,0.91981006,0.22739,0.18302,0.23552999,2025-02-26 23:20:37
NXPI,58175.356928,12613.999616,2510.000128,0.09043,0.27493998,116.945,1544.999936,4.06,1.77,0.41689998,0.56659,0.24783,0.19899,0.35048,2025-02-26 23:20:37
AEP,56994.922496,19721.299968,2967.099904,0.02861,0.113859996,170.451,-2010.387456,3.72,3.46,0.6398,0.47320998,0.26299,0.15045,0.39671,2025-02-26 23:20:37
CHTR,50175.778816,55084.998656,5082.999808,0.055609997,0.34004003,493.104,2851.62496,,,0.0,0.39789,0.24609,0.09228,0.39748,2025-02-26 23:20:38
PCAR,55644.860416,33663.799296,4161.999872,0.07408,0.24933,91.445,3864.549888,1.32,1.24,0.1481,0.17616,0.13046,0.12363,0.15935999,2025-02-26 23:20:38
CPRT,54217.719808,4506.402816,1454.343936,0.12142,0.19184999,1.434,701.386112,,,0.0,0.4582,0.36638,0.32272997,0.40632,2025-02-26 23:20:38
PAYX,53743.0016,5369.800192,1719.299968,0.12255,0.46155,21.978,1071.78752,3.92,2.6,0.8063,0.71803004,0.40861,0.32018003,0.44462,2025-02-26 23:20:38
MNST,50230.66112,7410.776064,1605.315968,0.14588,0.23517,13.985,1207.026688,,,0.0,0.5377,0.25514,0.21662001,0.28408,2025-02-26 23:20:39
LULU,44576.595968,10181.732352,1735.681024,0.22699,0.46213,37.988,1476.885376,,,0.0,0.58853,0.20472999,0.17047001,0.27462,2025-02-26 23:20:39
ROST,45787.5456,21239.441408,2113.629056,0.11133,0.42931998,108.951,1130.07488,1.47,1.08,0.22639999,0.32614,0.11914,0.09951,0.14347,2025-02-26 23:20:39
KDP,45776.744448,15351.000064,1440.999936,0.03941,0.057729997,75.515,1525.62496,0.92,2.63,0.84760004,0.55684,0.19656,0.09387,0.26454002,2025-02-26 23:20:40
FANG,44354.686976,11022.999552,3316.999936,0.06278,0.1292,32.816,-4994.87488,6.21,4.09,0.5338,0.70961,0.39988998,0.30282,0.69727,2025-02-26 23:20:40
EXC,44289.994752,23028.000768,2460.0,0.02545,0.0934,174.232,-2009.124992,1.6,3.63,0.6204,0.40842,0.19905001,0.10682999,0.31219,2025-02-26 23:20:40
AXON,43648.249856,2082.525952,377.033984,0.00925,0.19139999,31.556,-21.3905,,,0.0,0.59609,-0.027390001,0.18105,0.05136,2025-02-26 23:20:41
BKR,43079.770112,27829.000192,2979.000064,0.05748,0.18469,39.261,1967.500032,0.92,2.09,0.28190002,0.21248,0.14028,0.10705,0.16525999,2025-02-26 23:20:41
FAST,42370.00704,7545.999872,1150.599936,0.20604,0.33039,13.423,747.78752,1.72,2.31,0.78,0.45082,0.18898001,0.15248,0.22334999,2025-02-26 23:20:41
CTSH,41621.938176,19736.000512,2240.0,0.09838,0.16211,10.432,2127.500032,1.24,1.46,0.26610002,0.34342998,0.15742,0.11350001,0.1783,2025-02-26 23:20:41
GEHC,41481.498624,19672.000512,1992.999936,0.05771,0.25686002,108.368,1864.875008,0.14,0.15,0.0276,0.41709,0.16657,0.10130999,0.18330999,2025-02-26 23:20:42
VRSK,40673.005568,2823.300096,930.300032,0.17252001,2.65609,1069.413,775.78752,1.56,0.52,0.233,0.68236,0.45623,0.32650003,0.48957002,2025-02-26 23:20:42
XEL,40179.712,13441.000448,1936.0,,0.10474,154.33,,2.19,3.11,0.6366,0.42808998,0.111219995,0.14404,0.38979998,2025-02-26 23:20:42
CCEP,39649.222656,20437.999616,1418.0,0.04844,0.17027001,127.902,1756.875008,2.09,2.39,0.6396,0.35634997,0.110649996,0.06938,0.16009001,2025-02-26 23:20:43
DDOG,38859.157504,2684.274944,183.746,0.00698,0.07753,67.868,703.912,,,0.0,0.80811,0.01273,0.06845,0.03859,2025-02-26 23:20:43
ODFL,37509.464064,5814.810112,1186.07296,0.17538999,0.27899998,1.413,,1.12,0.62,0.1898,0.4001,0.24103001,0.20397,0.32418,2025-02-26 23:20:43
IDXX,37232.861184,3897.504,887.867008,0.22694999,0.57657003,61.865,734.987008,,,0.0,0.61037,0.27422002,0.22780001,0.33862,2025-02-26 23:20:43
TTWO,36907.077632,5450.500096,-3655.699968,-0.02478,-0.51451,71.971,926.950016,,,0.0,0.57918,-0.07891,-0.67070997,0.06504,2025-02-26 23:20:44
KHC,36590.592,25845.999616,2744.0,0.03862,0.05545,41.46,2179.375104,1.6,5.04,0.708,0.34729,0.21365999,0.10617,0.25021,2025-02-26 23:20:44
TTD,35931.725824,2444.830976,393.076,0.04854,0.15373999,10.587,613.516096,,,0.0,0.80693,0.26357,0.16078,0.20396,2025-02-26 23:20:44
DXCM,35134.312448,4032.999936,576.2,0.05883,0.27628002,123.362,552.724992,,,0.0,0.60456,0.16965,0.14287,0.20275,2025-02-26 23:20:45
EA,34190.475264,7346.999808,1049.0,0.07121,0.14038,30.747,1651.124992,0.76,0.58,0.1934,0.79379,0.20074,0.14278,0.25806,2025-02-26 23:20:45
MCHP,32145.442816,4756.89984,308.8,0.025209999,0.0471,112.476,1363.162496,1.82,3.02,3.1772,0.57952,0.03353,0.06492,0.29896,2025-02-26 23:20:45
CSGP,31546.892288,2736.199936,138.7,0.00032000002,0.01863,14.928,-202.062496,,,0.0,0.79587996,0.05639,0.05069,0.055409998,2025-02-26 23:20:46
ZS,30046.427136,2299.023104,-36.274,-0.01589,-0.03244,86.715,732.703104,,,0.0,0.78032,-0.048839998,-0.01578,-0.030450001,2025-02-26 23:20:46
ANSS,29128.445952,2544.80896,575.692032,0.058369998,0.10032,14.222,670.905344,,,0.0,0.92484003,0.40308997,0.22622,0.33816,2025-02-26 23:20:46
WBD,25758.283776,39578.001408,-11221.000192,-0.00148,-0.27295,111.154,20279.250944,,,0.0,0.41584,0.05217,-0.28342,0.18053,2025-02-26 23:20:46
CDW,23879.032832,20998.699008,1077.799936,0.07495,0.49043998,271.148,1079.374976,2.5,1.37,0.3118,0.21917999,0.08185001,0.05133,0.09295999,2025-02-26 23:20:47
GFS,22443.319296,6750.000128,-265.0,0.02612,-0.02385,20.602,1238.0,,,0.0,0.24459,0.12842,-0.03926,0.34015,2025-02-26 23:20:47
ON,21302.831104,7082.299904,1572.8,0.0874,0.18954,41.331,858.712512,,,0.0,0.4541,0.25951,0.22207001,0.36033002,2025-02-26 23:20:47
BIIB,20564.226048,9675.899904,1632.199936,0.05289,0.10358,40.181,3266.925056,,,0.0,0.76122004,0.21506001,0.16869,0.3096,2025-02-26 23:20:48
